     ;red;green;blue;x;x
796;19;68;29;Old Bridge;x
797;237;235;183;Fort Homestead;x
798;189;201;222;Pell's Gate;x
799;176;124;181;Hircine's Rock;x
800;52;114;159;Sweetwater Camp;x
801;245;131;41;Robber's Glen;x
802;165;231;16;Castle Faregyl;x
803;242;102;192;Harcane Grove;x
804;32;209;194;Fort Black Foot;x
805;100;240;167;Wenyandawik;x
806;248;46;92;Anutwyll;x
807;72;237;245;Bravil;x
808;202;163;68;Bloodmayne;x
809;152;221;72;Zenithar's Chapel;x
810;111;104;74;Flooded Mine;x
811;69;185;83;Veyond ;x
812;37;149;213;Fort Variela;x
813;64;190;116;Fort Alessia;x
814;100;161;69;Fatback;x
815;245;133;19;Arcane University;x
816;249;99;228;Waterfront District;x
817;70;151;111;Arboretum ;x
818;116;194;94;White Gold Tower;x
819;49;68;109;Imperial Sewers;x
820;111;31;83;Arena District;x
821;252;24;73;Market District;x
822;38;163;32;Garden District;x
823;196;11;67;Rumare Gatehouse;x
824;37;131;99;Dzonot;x
825;199;90;34;Fort Irony;x
826;48;53;79;Bawn;x
827;3;80;186;Reedstand Cave;x
828;12;202;177;Fort Nomore;x
829;48;85;181;Rockmilk;x
830;177;98;164;Border Watch;x
831;32;183;79;Water's Edge;x
832;159;206;152;White Stallion;x
833;240;94;59;Undertow ;x
834;250;167;174;Telepe;x
835;243;15;171;Leyawiin;x
836;20;162;112;Greyland;x
837;67;154;236;Somberstorm (M);x
838;86;248;160;Forasken Min;x
839;103;224;228;Deepscorn Hollow;x
840;135;40;234;Tidewater Cove;x
841;23;9;87;Fort Blueblood;x
842;110;148;33;Topal's Rest;x
843;234;23;25;Swampwraith;x
844;29;2;162;Darkfathom;x
845;172;87;24;Onyx Hamlet;x
846;101;26;30;Misty Glades;x
847;103;41;188;Veyond;x
848;108;16;106;Fisherman's Rock;x
849;246;143;190;Blankenmarch;x
850;148;122;197;Fieldhouse;x
851;30;76;176;Marsh's Edge;x
852;35;197;129;Bilegulch;x
853;111;178;152;Fort Doublecross;x
854;231;74;24;Mara's Rest;x
855;152;120;109;Arpenia ;x
856;173;95;122;Vinthak;x
857;231;216;132;Brackishville (M);x
858;193;233;191;Panter's Spill;x
859;212;208;104;Magnus rock;x
860;128;245;122;Barren Mine;x
861;93;195;21;Atatar;x
862;0;237;45;Marsh-Punk;x
863;135;77;167;Fort Bulwark;x
864;243;82;205;Marshwatch;x
865;217;161;13;Murky waters;x
866;103;204;94;Garnet Camp;x
867;35;73;17;Haunted Mine;x
868;241;76;131;Morahame;x
869;77;208;148;Redwater;x
870;180;112;162;Leafrot;x
871;221;49;220;Seran Camp;x
872;127;72;132;Wendelbek;x
873;27;30;4;Mir Corrup;x
874;216;10;137;Fort Cuptor;x
875;140;111;29;Nayon Camp;x
876;171;136;71;Panterville;x
877;251;117;3;Nenalata;x
878;157;108;138;Fort Grief;x
879;12;166;197;Nenalata;x
880;24;126;73;Imperial Bridge;x
881;80;95;217;Fort Warden;x
882;217;233;25;Waxmoth Fort;x
883;187;236;218;Sundercliff Watch;x
884;157;122;227;West Septim's Gate;x
885;100;130;158;Malada;x
886;82;28;228;Lost Boy;x
887;246;104;143;Collapsed Mines;x
888;55;72;93;Arrowshaft Caves;x
889;11;225;98;Bedrock Caverns;x
890;170;133;247;Ondo Ruins;x
891;124;101;116;Fort Flecia;x
892;77;100;38;Cadlew Chapel;x
893;47;247;173;Crestbridge Camp;x
894;6;188;193;Mackamentain;x
895;100;254;239;Trossan Camp;x
896;232;197;35;Fort Entius;x
897;252;121;10;Mage's Gathering;x
898;64;57;10;Forestville;x
899;170;241;195;Deserted Mine;x
900;222;247;91;Crayfish ;x
901;57;221;255;Fort Cedrian;x
902;75;55;141;Riverglade;x
903;61;105;230;Souzare;x
904;53;141;151;Newt Caverns;x
905;168;116;89;Timberscarn Hollow;x
906;252;178;171;Culotte;x
907;4;144;169;Cropsford;x
908;252;196;168;Cracked Wood;x
909;28;229;6;Vanua;x
910;137;79;238;Fort Magia;x
911;184;135;155;Blue Road Keep;x
912;96;204;105;Nagastani;x
913;131;67;46;Memorial Barrow;x
914;245;38;18;Fort Magia;x
915;76;77;136;Fort Urasek;x
916;54;38;107;Vilverin;x
917;98;4;208;Fort Caractacus;x
918;12;72;32;Fathis Aren's Tower;x
919;4;144;169;Aleswell;x
920;10;125;152;Roxeyville;x
921;215;14;148;Frostfire Glade  ;x
922;29;38;223;Highlands;x
923;140;113;52;Chalman Keep;x
924;253;136;64;Silver Tooth;x
925;124;32;244;Fort Horuun;x
926;254;166;127;Blaze Rock;x
927;13;34;87;Beast Maw;x
928;102;153;179;White Fall Ranges;x
929;185;2;147;Steed Valley;x
930;180;83;172;Entin;x
931;8;137;187;Arkved's Tower;x
932;25;37;128;Nornal;x
933;61;128;187;Wenderbek ;x
934;103;190;51;Drakelowe;x
935;204;135;76;Fort Facian;x
936;229;39;92;Sheltered Hills;x
937;171;240;6;Hame;x
938;195;95;112;Boethia's Peaks;x
939;246;89;164;Fort Naso;x
940;9;149;178;Carbo;x
941;129;69;12;Muck Valley;x
942;238;173;25;Poppod Hamlet;x
943;173;234;43;Harlun's Watch;x
944;39;171;168;Knights of the Thorn Lodge;x
945;103;141;84;Quick-Water;x
946;37;181;63;Barren Falls;x
947;9;172;194;Wind Range;x
948;109;99;146;Cheydinhal;x
949;121;209;142;Jerral Hills;x
950;182;190;135;Hidden Camp;x
951;109;109;189;Mountain Camp;x
952;0;144;84;Sedor;x
953;72;79;162;Frostbitten Hills;x
954;177;247;138;Gnoll Mountain;x
955;69;4;251;Rugdumph's Estate;x
956;116;42;254;Dive Rock;x
957;183;220;112;Ancestor Moth Hill;x
958;29;75;78;Farragut Keep;x
959;142;80;117;Kemen;x
960;205;91;132;Rickety Mine;x
961;65;62;225;Akatosh's Rock;x
962;35;142;9;Fort Scinia;x
963;142;78;144;Arrius;x
964;18;36;126;Hal Verovar;x
965;106;190;194;Stirk;x
966;241;193;134;Skywatch;x
967;48;67;11;Ezduiin;x
968;34;241;132;West Guard;x
969;166;66;108;Lover's Temple;x
970;19;252;99;Entila's Folly;x
971;217;173;69;Shattered Grove;x
972;6;293;137;Toothmaul Gully;x
973;251;10;64;Auridon Hills;x
974;134;202;230;Mathiisen;x
975;176;26;252;Mathiisen Manor;x
976;112;36;72;Ondil;x
977;84;93;173;Tanzelwil;x
978;113;181;169;Potansa;x
979;191;174;229;Phaer;x
980;148;114;164;Silsailen;x
981;73;215;182;Del's Claim;x
982;201;229;195;East Shore Islet;x
983;123;97;104;Harborage;x
984;171;81;3;Vulkhel Guard;x
985;253;31;80;South Beacon;x
986;170;96;146;Illuvamir Dolmen;x
987;90;167;132;Monkey's Rest;x
988;196;43;92;Gilsailen;x
989;122;210;122;Scarp Camp;x
990;202;248;144;Shattered Sword Hills;x
991;21;4;173;Solitude;x
992;238;75;0;Shadowgreen;x
993;218;244;239;Fort Hraggstad;x
994;154;164;238;Missed Cyrodiil Province;x
995;241;31;32;UNUSED;x
996;212;60;54;UNUSED;x
997;40;112;176;UNUSED;x
998;154;226;69;UNUSED;x
999;151;106;79;UNUSED;x
1000;13;97;27;Buraniim Isle;x
1001;138;233;250;Glister Vale;x
1002;70;91;8;Raptor's Cove;x
1003;148;17;70;Heritance Proving;x
1004;101;68;220;Quendeluun;x
1005;8;203;169;Almarchet;x
1006;41;155;105;Topal's Landing;x
1007;23;18;74;Wansalen;x
1008;5;225;162;Beacon Falls;x
1009;44;78;231;North Beacon;x
1010;162;113;81;Nine-Prow Landing;x
1011;193;233;61;College of Aldmeri;x
1012;176;64;188;Dawnbreak;x
1013;115;125;78;Nelanya;x
1014;7;135;57;Torinaan;x
1015;132;98;238;Heritance Foothills;x
1016;52;143;231;Panersewen;x
1017;255;175;252;Firsthold;x
1018;147;139;77;Greenwater Wayshrine;x
1019;24;235;40;Mehrunes' Spite;x
1020;30;229;250;Shimmering Beaches;x
1021;179;111;48;Greenwater Cove;x
1022;144;100;189;Camdia;x
1023;227;139;157;Old Hall;x
1024;186;26;0;Belotte;x
1025;28;99;254;Krandar Watch;x
1026;4;20;225;Springbreeze;x
1027;101;201;218;Direnni Acropolis;x
1028;7;184;185;Gryphon Aerie;x
1029;183;128;198;Gryphon Run;x
1030;164;202;210;Belport Run;x
1031;123;121;112;Veyond Wyte;x
1032;196;70;144;Kingshaven;x
1033;29;142;221;Crystal Groves;x
1034;4;181;177;Crystal-Like-Law;x
1035;8;200;7;Graddun Spring;x
1036;21;199;87;Congrad Wastes;x
1037;161;102;204;Gradden;x
1038;177;213;76;Corgrad Geyser;x
1039;162;176;132;Malabria;x
1040;55;114;206;Illumination Academy;x
1041;254;77;192;Cathedral of Webs;x
1042;243;218;241;Lillandril;x
1043;32;162;180;Keelsplitter's Nest;x
1044;65;131;247;Arata;x
1045;34;149;12;Karnahrn;x
1046;104;58;233;Ebon Stadmont;x
1047;143;119;195;Sea Keep;x
1048;154;43;119;Sarulas;x
1049;18;82;222;Pastelin;x
1050;30;152;188;College of Spiarchs;x
1051;204;14;54;Slaughter;x
1052;210;43;8;Sunhold;x
1053;215;0;75;Alaxon'ald;x
1054;224;26;13;Cunelyi;x
1055;142;98;136;Terim;x
1056;125;94;251;Varumil;x
1057;138;102;143;Holly Falls;x
1058;19;44;6;Holifal;x
1059;106;49;172;Shimmerene;x
1060;33;168;123;Ebonsamon;x
1061;38;140;46;Rellenthil;x
1062;147;139;77;Cloudrest;x
1063;224;39;15;Eton Nir Grotto;x
1064;32;24;61;Eldbur Ruins;x
1065;250;21;73;Riverfeld;x
1066;237;63;225;Russafeld;x
1067;149;130;207;Ald Mora;x
1068;88;168;91;Mossy Archer's Grove;x
1069;187;28;220;Rosfeld;x
1070;33;179;50;Stephanis Vineyards;x
1071;174;83;122;Eldbur Sanctuary;x
1072;64;144;49;Cambrian Crag;x
1073;214;236;144;Auriel's Forest;x
1074;184;4;17;Kingdom Fields;x
1075;120;219;222;Shimmering Docks;x
1076;56;211;247;Sungai;x
1077;123;63;113;Rosefield;x
1078;111;161;120;Auriel's Grove;x
1079;247;199;46;Eton Nir Peaks;x
1080;93;12;55;Mountain Shadows;x
1081;179;37;117;High Garden;x
1082;147;139;77;Hulkhod (M);x
1083;106;80;43;Suhnor (M);x
1084;235;192;172;Brightheart Woods (M);x
1085;145;66;170;Alinor;x
1086;13;250;211;Ornandel;x
1087;224;246;21;Cey-Tarn Keep;x
1088;237;48;159;Eton Nir Groves;x
1089;103;112;182;Scutters Pond;x
1090;161;178;40;Ruinspire;x
1091;132;248;250;Isque;x
1092;166;91;83;Eton Nir Foothills;x
1093;63;190;247;Glenvia;x
1094;162;208;254;Marnor;x
1095;33;127;38;Shadow Groves;x
1096;102;96;121;Aldmeri Docks;x
1097;55;231;183;Je'r Beach;x
1098;199;174;242;The Pearls;x
1099;200;251;149;Alinor Crest;x
1100;241;104;193;Felballin;x
1101;136;151;179;Welenkin Cove;x
1102;153;4;108;Sun's Path;x
1103;125;187;5;Bright Beach;x
1104;109;144;133;Sunhold Geyesers;x
1105;184;239;142;Celemora;x
1106;14;86;61;Archen Gangrove;x
1107;55;56;80;Colossal Aldmeri Grotto;x
1108;177;248;85;Dusk;x
1109;64;85;125;Jilted Geyeser;x
1110;111;68;213;Sollicich;x
1111;53;0;127;Thorheim Guard;x
1112;26;5;94;Silver Wood;x
1113;69;141;196;Sorcalin's Hills;x
1114;223;83;109;Ayrenn's Meadow;x
1115;133;31;95;Syldarim;x
1116;175;177;161;Tor-Hame-Khard;x
1117;195;59;49;Keep of the Elven Forces;x
1118;138;219;90;Topal's Beach;x
1119;132;141;151;Indrik Frolic;x
1120;240;248;17;Graveld's Hideway;x
1121;228;139;204;Tiguna;x
1122;191;119;242;Jiguna;x
1123;159;90;38;Kaleano;x
1124;81;131;91;Dis-Valenta;x
1125;57;203;60;Terzana;x
1126;23;130;174;Bonefolds;x
1127;240;224;170;Keanos;x
1128;163;11;46;Maran;x
1129;179;163;56;Mantu;x
1130;234;163;119;Daferms;x
1131;90;3;22;Dal-Falen;x
1132;198;138;152;Reslonka;x
1133;41;132;137;Peanu;x
1134;104;74;153;Islasa;x
1135;234;179;169;Germae;x
1136;134;85;22;Indosne;x
1137;186;162;142;Noines;x
1138;76;206;160;Palesti;x
1139;166;192;208;Daferti;x
1140;126;93;226;Ehua;x
1141;225;228;181;Secula;x
1142;2;43;14;Artinea;x
1143;193;29;45;Norfeasta;x
1144;15;212;37;Pontu;x
1145;152;236;189;Grenbogs;x
1146;196;101;192;Wirmati;x
1147;20;247;145;Abbarbas;x
1148;73;96;39;Kun-Lo;x
1149;142;118;232;Wylala;x
1150;228;118;47;Colcasta;x
1151;206;234;54;Yisisa;x
1152;56;210;170;Borne;x
1153;51;86;94;Orcana;x
1154;69;195;36;Aldamar;x
1155;41;83;160;Gaddu;x
1156;107;158;125;Ne-Angla;x
1157;200;239;183;Caneticea;x
1158;26;113;32;Yurkon;x
1159;222;22;70;Californea;x
1160;121;16;153;Tratrita;x
1161;157;218;138;Pulonsa;x
1162;20;62;174;Tar-Tara;x
1163;193;137;30;Wal-Aldas;x
1164;140;1;189;Desers;x
1165;100;83;235;Takula;x
1166;77;203;117;Lizah;x
1167;214;212;89;Bryano;x
1168;204;75;56;Falaka;x
1169;88;167;251;Ocura;x
1170;146;158;192;Sipsoco;x
1171;73;248;249;Bestafiv;x
1172;12;87;215;Halowa;x
1173;70;20;238;Walaksas;x
1174;235;4;222;Haaiiora;x
1175;0;133;15;Wesocra;x
1176;90;163;235;Borans;x
1177;195;202;212;Eternal Palace;x
1178;173;104;241;Spilan;x
1179;26;197;16;Rescae;x
1180;170;183;10;Paraman;x
1181;127;186;76;Jagae;x
1182;196;143;14;Wega;x
1183;6;18;1;Orarog;x
1184;84;243;110;Riscea;x
1185;100;22;134;Midae;x
1186;104;100;68;Fealaka;x
1187;104;127;145;Castarara;x
1188;193;135;252;Rakinka;x
1189;98;221;115;Lika-Anua;x
1190;205;234;249;Kituna;x
1191;112;22;11;Jimatusa;x
1192;132;122;6;Vos;x
1193;58;217;107;Haewai;x
1194;165;207;18;Hwasa;x
1195;78;105;238;Omaga;x
1196;128;83;241;Wadara;x
1197;241;188;2;Pretenta;x
1198;162;211;112;Inconstar;x
1199;210;23;218;Raful;x
1200;2;78;163;Nanetet;x
1201;13;82;78;Strikanjat;x
1202;34;139;34;Hilapa;x
1203;255;228;225;Gruv;x
1204;183;100;212;Verygren;x
1205;252;176;120;Nervas;x
1206;196;254;177;Vallas Bor;x
1207;177;187;97;Anoyias;x
1208;31;205;98;Stransas;x
1209;211;70;203;Wadaruk;x
1210;134;201;39;Wyudo;x
1211;137;109;89;Tahana;x
1212;30;248;213;Daluksrog;x
1213;104;207;105;Anyclos;x
1214;198;142;19;Porgoy;x
1215;9;178;183;Ukala;x
1216;63;43;242;Amarere;x
1217;108;202;139;Yoleftim;x
1218;123;104;238;Bondar;x
1219;240;128;128;Hewasma;x
1220;255;218;185;Velu;x
1221;255;250;205;Arcantys;x
1222;38;3;76;Portinmas;x
1223;225;78;254;Baga;x
1224;20;222;199;Koranta;x
1225;1;106;134;Kowaht;x
1226;100;149;237;Opandow;x
1227;220;220;220;Borfar;x
1228;186;85;211;Fulisronin;x
1229;255;250;205;Wataplan;x
1230;91;57;62;Captmor;x
1231;23;99;60;Clerar;x
1232;202;38;177;Comana;x
1233;29;137;158;Beyonu;x
1234;223;235;235;Lehua;x
1235;27;96;123;Pyrrhan;x
1236;134;173;36;Onmorchan;x
1237;85;154;216;Abondos;x
1238;171;195;110;Wilisos;x
1239;138;253;238;Roa;x
1240;124;139;190;Khael;x
1241;15;110;12;Bjecha;x
1242;75;103;250;Cato Ydur;x
1243;174;35;192;Ygonsur;x
1244;176;224;230;Etho Sul;x
1245;41;132;137;Nowanbela;x
1246;132;8;102;Nomee;x
1247;98;178;92;Survila;x
1248;74;76;23;Ixtaxh;x
1249;194;209;228;Xinchei-Konu;x
1250;212;128;221;Lilmoth;x
1251;119;252;132;Hidings;x
1252;56;199;109;Alten Meirhall;x
1253;56;196;188;Swamplung;x
1254;39;145;157;Longmont;x
1255;177;225;118;Prisridge;x
1256;76;252;200;Redbram;x
1257;30;39;106;Blackrose;x
1258;120;128;235;Piy-Sah;x
1259;251;176;126;Oliis;x
1260;116;107;10;Knazil;x
1261;84;93;212;Colban;x
1262;56;43;22;Fleshpoint;x
1263;87;59;143;Dirtwarden;x
1264;63;69;78;Leviathan's Grasp;x
1265;93;98;40;Moonmarch;x
1266;243;215;77;Nonxis;x
1267;183;243;208;Oleed;x
1268;10;238;216;Riverchange;x
1269;18;246;26;Sunwood;x
1270;28;219;193;Histspeaker;x
1271;75;254;200;Muddermest;x
1272;42;184;125;Blueleaf;x
1273;81;126;117;Larvastones;x
1274;140;206;73;Flynnel;x
1275;247;48;198;Clannontar;x
1276;100;220;58;Pirate Bay;x
1277;129;186;158;Chasepoint;x
1278;0;138;7;Wronghills;x
1279;61;77;212;Shadowmarsh;x
1280;241;19;161;Soulrest;x
1281;9;163;234;Topal Isle;x
1282;230;28;217;Topalbeach;x
1283;0;143;37;Mearavan;x
1284;5;244;173;Cortas;x
1285;158;77;86;Stonewastes;x
1286;54;155;0;Deepmont;x
1287;20;139;141;Rockpark;x
1288;106;7;98;Gemflood;x
1289;40;148;65;Saltwater;x
1290;59;212;172;Padomest;x
1291;39;51;48;Fest;x
1292;238;48;187;Arl-Anx;x
1293;41;77;56;Archon;x
1294;68;120;64;Dialoss;x
1295;168;254;171;Corfille;x
1296;216;129;188;Stonehill;x
1297;247;7;57;Manklegrove;x
1298;95;79;166;Westick;x
1299;63;246;108;Branchgrove;x
1300;120;243;86;Brightbog;x
1301;38;242;95;Reedwash;x
1302;55;200;14;Seaspring;x
1303;125;211;48;Kanx;x
1304;42;86;192;Portdun Mont;x
1305;162;22;10;Darkwood;x
1306;245;183;43;Glimmermont;x
1307;67;78;137;Geyser-Hill;x
1308;146;56;68;Seafalls;x
1309;8;172;185;Glowguar Bay;x
1310;89;28;251;Crim-Ax;x
1311;81;212;249;Kothringos;x
1312;180;202;135;Festfal;x
1313;46;156;12;The Worms;x
1314;67;34;98;Bloodback;x
1315;220;43;58;Salwa;x
1316;190;70;3;Padmasa;x
1317;185;154;97;Slivec;x
1318;58;253;224;Streamlands;x
1319;85;15;159;Xanxaer;x
1320;160;68;67;Limbuta;x
1321;88;47;162;Lakedrop;x
1322;122;86;22;Trenchfest;x
1323;18;173;128;Dryplains;x
1324;76;20;15;Filthcreek;x
1325;237;136;215;Oldrock;x
1326;150;39;130;Daconza;x
1327;206;233;63;Riverbridge;x
1328;132;73;125;Xanmeer Mon;x
1329;91;219;210;Flybog;x
1330;237;189;127;Xan-Kar;x
1331;184;137;253;Grenrif;x
1332;244;213;18;Murkwater Point;x
1333;44;211;0;Wamasu's Roost;x
1334;215;145;78;Arnesia;x
1335;128;219;36;Bonewoods;x
1336;131;2;167;Turtledens;x
1337;114;196;121;Branchmont;x
1338;187;54;243;Trodhpools;x
1339;104;11;65;Cisternsi;x
1340;131;120;157;Greenglade;x
1341;233;88;254;Torashin;x
1342;100;120;217;Meraud;x
1343;237;202;241;Plarast;x
1344;224;158;10;Alten  Barasa;x
1345;56;83;63;Riverwalk;x
1346;189;205;6;Velen;x
1347;108;90;5;Thorn;x
1348;138;215;164;Farwellon;x
1349;1;252;135;Chainwalk;x
1350;208;180;95;Anka-Tirana;x
1351;20;231;152;Jatzis;x
1352;31;199;174;Baelors;x
1353;102;197;41;Ax-Sizla;x
1354;85;214;158;Rockpoint;x
1355;104;0;171;Gloomshik;x
1356;23;199;197;Rookmoth;x
1357;217;190;113;Alten Corimont;x
1358;11;193;62;Chasecreek;x
1359;238;32;124;Dirvitst;x
1360;154;45;62;Purpistal;x
1361;163;1;32;Branch;x
1362;85;41;134;Zic-Zak;x
1363;58;192;224;Frontoff;x
1364;186;105;176;Bogmother;x
1365;97;19;190;Mountainmother;x
1366;173;73;224;Stormhold;x
1367;11;149;133;Knahatan;x
1368;171;246;251;Puss;x
1369;86;148;247;Nisses;x
1370;51;172;60;Scaleshriek;x
1371;65;101;97;Tenmar;x
1372;92;95;178;Muskorts;x
1373;183;12;24;Sapgrove;x
1374;2;63;14;Yokook;x
1375;244;16;202;Histmother;x
1376;139;67;246;Terrorvern;x
1377;201;245;19;An-Anzax;x
1378;126;37;41;Wasbax;x
1379;209;11;227;Korinthixisa;x
1380;184;228;152;Endspring;x
1381;52;78;83;Rockguard;x
1382;244;151;167;Overwater;x
1383;180;77;16;Black Marsh;x
1384;40;37;214;The Cries;x
1385;218;226;20;Traveler's Luck;x
1386;108;133;191;Lilothi;x
1387;103;54;208;Toothridge;x
1388;16;255;55;Berrylest;x
1389;139;48;250;An-Lilaak;x
1390;241;75;211;Bettysra;x
1391;165;112;45;Finalsix;x
1392;188;212;15;Sonsded;x
1393;90;80;133;The Sticks;x
1394;254;80;30;Carnivoris;x
1395;130;34;91;Barnbuild;x
1396;151;186;13;Streambridge;x
1397;216;221;201;Floodrow;x
1398;166;221;6;Helstrom;x
1399;108;237;254;Narstrom;x
1400;105;127;65;Halucix;x
1401;62;32;236;Stickville;x
1402;133;143;47;Tamedwalk;x
1403;124;90;116;Greenglade;x
1404;53;97;4;Fishcreek;x
1405;206;157;218;Lost Gems;x
1406;74;130;105;Alten Markmont;x
1407;248;89;7;Oakwater;x
1408;243;154;151;Lowbanks;x
1409;82;173;202;Obsidris;x
1410;48;216;32;Greenspring;x
1411;190;237;2;Rotcorpse;x
1412;163;236;240;Deepvalley;x
1413;55;70;133;Hackfort;x
1414;148;246;9;Hidden Bay;x
1415;253;27;190;Mirecrossing;x
1416;203;208;212;Riverwind;x
1417;41;108;205;Rockspring;x
1418;81;80;190;Old Palace;x
1419;200;31;207;Ruinza;x
1420;198;62;201;Murksedge;x
1421;83;154;56;Filthfolk;x
1422;72;105;212;Nagis;x
1423;15;251;123;Glenbridge;x
1424;114;31;18;Gloomhollow;x
1425;222;180;193;Rockgrove;x
1426;174;192;36;Spikmont;x
1427;39;57;248;Fishfoks;x
1428;186;207;129;Yellow Coast;x
1429;151;110;152;Bambwood;x
1430;10;176;190;Gideon;x
1431;236;127;152;Giovesse;x
1432;254;133;160;Tardorn Wood;x
1433;193;246;53;Riverhold;x
1434;192;45;227;King's Walk ;x
1435;118;31;109;Semrit (M);x
1436;86;145;197;Dragonscour;x
1437;127;114;12;The Tangle;x
1438;109;237;12;Tenmar Temple;x
1439;163;195;104;Chasemoor;x
1440;197;254;156;Bone Dry Hills (M);x
1441;33;165;253;Meir Lynmount;x
1442;164;173;65;Sandswirl Manor;x
1443;4;250;4;Nede Watch (M);x
1444;209;234;33;Sandy Pass (M);x
1445;101;89;26;Duneville (M);x
1446;245;47;17;Hall of the Colossus;x
1447;241;132;50;Sweltering Cliffs (M);x
1448;227;65;247;D'al Dunes (M);x
1449;105;175;89;Rimmen;x
1450;23;177;67;Valley Guard;x
1451;148;238;189;River Keep;x
1452;251;31;143;Eastern Wastes (M);x
1453;83;178;186;Parched Hills (M);x
1454;212;109;243;Travler's Rest (M);x
1455;33;230;198;Blistering Sands (M);x
1456;148;237;49;Darkam ;x
1457;252;132;37;Alabaster;x
1458;127;17;54;Shimmering Sands (M);x
1459;91;115;182;Tilllams Cove (M);x
1460;101;210;135;Tortoise Cove (M);x
1461;70;203;53;Brukreich Bridge;x
1462;201;139;104;The Southern Steppes (M);x
1463;112;201;205;River Keep;x
1464;56;25;137;Rathran (M);x
1465;50;134;44;Sunspire Oasis (M);x
1466;68;2;204;Hebsend Shores (M);x
1467;174;100;92;Topal Beach (M);x
1468;53;203;160;Ellistry Wharf (M);x
1469;131;173;73;Baymouth Harbor (M);x
1470;221;105;230;Senchal;x
1471;206;4;24;South Guard;x
1472;147;141;214;Bariwak Jungle (M);x
1473;38;43;46;Darvulk Haven (M);x
1474;0;45;30;Markgran Brook (M);x
1475;125;106;191;Scorching Glades (M);x
1476;97;204;73;Jungle Dunes (M);x
1477;119;32;165;Port Quin (M);x
1478;164;149;104;Tenmar;x
1479;239;46;72;Black Heights;x
1480;246;59;59;Chasegrove;x
1481;236;196;158;Chapawa Beach (M);x
1482;44;110;220;Torval;x
1483;121;174;17;Duncori Walk;x
1484;1;90;145;Corinth;x
1485;89;69;220;Portneu View;x
1486;122;194;100;Kapsajid Gardens (M);x
1487;67;3;218;Weslin Delta (M);x
1488;90;42;102;Ra'an Delta (M);x
1489;132;55;243;Vonkreshar (M);x
1490;107;104;186;Scorched hills (M);x
1491;235;47;6;Tiskhan (M);x
1492;76;218;83;Arid Frontier (M);x
1493;146;150;5;Sandyego (M);x
1494;41;253;116;Harthel (M);x
1495;6;73;102;Jungle's Watch (M);x
1496;169;45;77;Valenwood Gate (M);x
1497;111;213;0;Anchorhead (M);x
1498;37;137;163;Toshe (M) ;x
1499;198;76;199;Jungle's End (M);x
1500;128;45;79;Ein Meirvale;x
1501;110;105;143;Flatlands (M);x
1502;214;205;226;Helkarn Land;x
1503;201;139;104;Greenvale;x
1504;143;149;81;Rawl'kha;x
1505;200;67;234;Heimthor Mount;x
1506;248;9;245;Verkarth Hills;x
1507;115;110;215;Neumar Walk ;x
1508;75;11;88;Dune;x
1509;25;194;48;Cori Darglade;x
1510;92;47;160;Dawnshadow;x
1511;228;217;14;Star Haven;x
1512;76;238;175;Starlight;x
1513;151;129;233;Orcrest;x
1514;57;6;181;Abode of Ignominy;x
1515;105;250;174;Mistral;x
1516;104;194;196;Mourning Springs;x
1517;43;8;98;Windcatcher Plantation;x
1518;251;166;212;Moomirth;x
1519;195;245;22;Brackenleaf;x
1520;0;247;87;Heimdar;x
1521;193;233;79;Haven;x
1522;31;215;242;Fort Eaglemoth;x
1523;221;113;201;Aeval;x
1524;19;119;22;Eagle Vale;x
1525;150;55;102;Brithwood (M);x
1526;44;236;221;Root Sunder;x
1527;166;91;108;New Joy;x
1528;65;222;217;Karthdar;x
1529;155;166;167;Cormeir;x
1530;126;135;246;Wasten Brukbrook;x
1531;202;206;237;Ballimar;x
1532;155;159;161;Green Hall;x
1533;142;216;202;Elden Root;x
1534;198;177;13;Stonesquare;x
1535;3;223;210;Rekran (M);x
1536;181;193;160;Long Coast;x
1537;186;2;1;Gray Mire;x
1538;89;249;204;Eplearswood (M);x
1539;231;156;218;Southpoint;x
1540;15;151;80;Raincross (M);x
1541;77;231;183;Runcibae;x
1542;16;101;252;Falinesti (Winter);x
1543;235;224;107;Redrash (M);x
1544;234;75;147;Tarlain Malex;x
1545;106;137;158;Cormount;x
1546;215;22;205;Tarlain Heights Keep;x
1547;137;47;229;Alithim;x
1548;179;242;151;Malgek (M);x
1549;133;152;254;Gil-Var-Delle;x
1550;175;74;32;Mossgreen Pike (M);x
1551;68;107;54;Andhres (M);x
1552;51;44;211;Rillan (M);x
1553;82;4;27;Allhearth (M);x
1554;98;242;112;Goldfolly;x
1555;38;159;166;Selene's Web;x
1556;216;47;19;Fangcrest (M);x
1557;6;149;229;Lissendran (M);x
1558;70;165;234;Oakhold Fort (M);x
1559;244;88;115;Redfur;x
1560;254;208;230;Moonmont Approach;x
1561;126;145;81;Longhaven;x
1562;218;242;200;Fort Bluewatch;x
1563;105;106;92;Shaagravine;x
1564;19;90;176;Greenheart;x
1565;227;192;124;Elmhearth (M);x
1566;154;182;235;Grenos;x
1567;80;174;11;Moliva;x
1568;190;52;47;Haserma;x
1569;249;129;172;Seaside Sanctuary;x
1570;102;140;192;Vulain;x
1571;15;107;20;Rheli Sul (M);x
1572;27;106;225;Spinner's Village;x
1573;195;95;240;Shrouded Vale;x
1574;4;93;234;Bramblebreach;x
1575;101;213;110;Camp Gushnukbar;x
